Star Rating,Headline,Review Text
'2'.'0',Too tight and not adjustable,"Yup. You read the headline correctly.After wearing the black mask for about 15ish minutes, the skin that was in contact with the mask became seriously inflamed & burned.Ive since washed the sleep masks three times; it seems to have solved the problem. Still: I woudnt recommend these to anyone. Theyre not so comfortable as to be worth chemical burns.ON EDIT: Got a message from vendor:""Thank you for your purchase and taking the time to write a product review.We are so sorry about all the inconvenience caused by the product. This is an extremely rare case.The sleep mask Plastic bags have an unpleasant chemical smell. The material of the eye mask is porous sponge, which may absorb the smell of plastic bags.These products are produced in factories and may bring some tiny dust. Before using the product, please wash it with clean water and dry it naturally, avoid wring dry, do not use the microwave oven or dryer drying.Please dont worry about the material of the eye mask.Thanks god, it did not brought you more losses. We are terribly sorry the sleep masks you received is defective and would like to know if we can send you a better one for replacement or assist you with a full refund. The better sleep mask with a gift box and it havent Plastic bags.Your super understanding and kindly reply will be much appreciated. Please give us a chance to make up for your loss!Best wishes!LKY DIGITAL""--00--Like I wrote earlier, Ive already washed & air-dried the masks. They dont seem to be causing issues any more. I wont be asking for a refund, and Im not particularly upset - just want to warn folks that if you buy these masks: WASH THEM FIRST or you risk hurting yourself."
'2'.'0',,"The only thing I liked was the texture of the material. I ordered a set right before this one that did not block out light completely. I ordered these the same day that I returned the others. I open up my new ones and they are The EXACT Same ones! Same exact silver sealed envelope, wording, packaging exact same. Since they are the same, they Do Not completely block out light, they are not tapered to curve around the outside of the eye or nose. I will just spend the $ on (hopefully) one's that give measurements and contour properly."
'5'.'0',I like the ability to adjust the mask to fit me.  It successfully blocks out light enabling me to get to sleep and stay asleep.,"Design great, stays in place however followed directions handwashed prior to first use with mild detergent and ended up with chemical burn around eyes for 5 days. Awful. Material does not breathe and is not good for your delicate skin. If they could somehow I corporate 100% silk with this design would be perfect."
'5'.'0',Meets the need perfectly!,The blindfold part is great but the strap is very tight and is not adjustable.  My 5 yr old is the only one small enough to use it
'5'.'0',"The fit is very comfortable and the eye pockets are perfect in aiding in that comfort. They blackout well, are soft with foam cushion and adjustable strap. I find that even aid in opening my nasal passages making it easier on my sinuses.  Definitely recommend.","These become soft and fluffy and thick feeling after washing. I sleep wonderfully when I do use them. The tie around the head dont bother me and adjusts perfectly. Ive washed them once and rarely use them though, so Im not sure about how well theyll hold up after a couple more uses. Ill update if anything changes."
'5'.'0',I really like the softness and its ability to keep the light out.,"As a day-sleeper, it can be difficult to keep the room dark enough. This mask works perfectly without pressing on the eyelids,"
'5'.'0',When I woke up I thought I was dead because of the darkness this item have gift me with!,Im a light sensitive sleeper so I thought Id try these as it wasnt a large investment. After adjusting the elastic band it was very comfortable and very effective at blocking light. Very happy so far.
'5'.'0',,"I love these! The strap is adjustable which is useful and helpful. The ergonomics are good as well. My nose is not irritated from friction because there is none. The pads block out lights really well too! I am able to throw them in the washer, they come out clean and fresh. The colors are nice, material is comfortable. I will be ordering more!"
'2'.'0',"I first ordered these sleep masks May 2018 for me and my 2 sons, and Ive ordered them several times since when the old ones started to wear out. Each time I reorder, they send me different sleep masks. But they always worked great so I kept going to the ""buy again"" section.Recently my oldest son needed a new sleep mask and my wife ordered them. The sleep masks were too small and the edges of the mask were right on our eyes. I thought she ordered childrens sleep masks by mistake, so I went to the ""buy again"" section and reordered these. Again, we got small masks that only fit my 8","I  got these because  I  recently  had hip replacement surgery  and I  go to bed before hubby, it works great for blocking  the TV light and such...an they are so soft and do not sit directly  on the eyes...colors are great also"
'2'.'0',Not good for sleeping,"Very light weight, adjustable and blocks out light.  Efficient.."
'2'.'0',Not for side sleepers,"The product is fine for a child maybe.  Size is way too small for a male adult.  Padding is half of premium competitors.  Its priced accordingly at ~$5/ea compared to 20-35 for competitors.  Spend accordingly, sleep is something you can never get back."
'2'.'0',"Nice quality, very well made. Like almost all the others the head band is placed too low on the sides and it rides up on your nose. Thereby leaking light . . .yes my ears are in the right place.",It comes off completely
'2'.'0',I prefer these kind of 3D,Light comes in around the edges of the mask. Mask shifts around while asleep .
'2'.'0',These are fine when you first put them on but they slip up on your head. It's just slightly but there's zero room for movement or the light pours in. I've tried everything to try to get the mask to stay but haven't been able to.,"Seem to be well made, but not good for side sleepers. Too padded."
'2'.'0',"I purchased these eye bras because I thought they were the same size as the ones I had purchased over the last few years, dark blue with gold moon and stars. I also figured I had a deal being that there were three for less than the price of one. They werent the same. These are much smaller and would be great for little kids or a small adult. My eyelashes get caught in the small depressed area. My blue/gold moon and stars mask had a depressed area over twice the size as my eye.I already washed all three masks and threw away the packaging or I would return them. Now I have to go find the dark blue ones and buy those again. On the plus side, they are soft and do not smell funny.",Not as comfortable as other sleeping masks
'2'.'0',"Sorry, detailed below. Tldr; older versions of this mask were 5 stars, quality has noticably decreased and the price is higher with the current offering only which deserves 2","The are good at their job, but the strap gets stretched out quickly and it doesnt stay on as you shift positions in your sleep, in a matter of days! No wonder you get 3.. Would be a 5 star product if the strap held its shape."
'2'.'0',These kinda suck compared to my normal sleep masks. They do not black out all the light and are less comfortable. I would try a different mask! These are being returned. I recommend the 3D Deep Contoured Eye Covers for Sleeping they are wayyyy better,Great for Little Kids or adults with small heads and eyes
'2'.'0',"I needed to replace the ones my wife gave me and that I lost in a trip. The previous ones were covered in silk, and they were also very soft and adaptable (they fit both my wifes smaller face and mine without any major adjustments), but I didnt want to go fancy.Long","First the positive, they are soft and they do block the light.However, there is no way I would ever be able to sleep with these extremely uncomfortable things strapped around my head.Way too tight at the loosest setting. Strap is uncomfortable above the ears, below the ears, and on the ears. The mask touches both eyes, so it is necessary to hold both eyes tightly shut when wearing mask. Even though the strap is excessively tight the mask moves all over my face. In that respect it is truly 3d as it moves left-right, up-down, and in-out. This happens on both sides, on my back, and on my stomach.They did contribute to about 6 hours of restful sleep last night. I was so exhausted after attempting to use these the last 2 nights that when I took it off in the middle of the night I was able to sleep with lights in my eyes."
'2'.'0',These are not complete black,The concave pocket for the eye is not as deep as shown
'2'.'0',"""Reordered "" what Amazon said was the SAME product that I had previously purchased, the top mask in the picture. What I received was the bottom mask that does not fit as good as the old style. It leaks light and my eyelashes touch the mask, and Im an 82 year old male. Im going to try and return them but I followed the instructions and washed the bottom pair.",Theyre great if you dont have a nose
'2'.'0',"Ive ordered in the past, but when I ordered a replacement this time (June, 2023), the design of the eye masks have changed, so that the center, cupped diameter","I loved their previous model eye shades because they were large with deep eye cups. I just ordered more and unfortunately the new versions are smaller with shallow eye cups. What are these....MASKS FOR ANTS?! I looked around Amazon for other sellers and they ALL use this newer, smaller version. I guess ita true what they say, ""all good things come to an end eventually""...sigh."
'2'.'0',,Product changed from last purchase
'5'.'0',Love the heaviness and the indent of the eyes,Product has changed and not as good as it used to be
'5'.'0',"Feels nice, great weight.",I have had better. This item is not Velcro and hard to adjust. They do not come away from the eyes as described and there are gaps so light comes through There are better ones out there and this is not it.
'5'.'0',This mask is very comfortable and love how it feels on my face. Very cool and stays on even while sleeping. Mask is very adjustable to any size.,Excellent to help those who struggle to sleep.  I am a chronic insomniac and this helps.
'5'.'0',The material is very soft. I love the adjustable strap. Looking forward to using it after it's been cooled on a hot day.,I bought two of these! One for myself and one for a friend who suffers from severe migraines. Both of us have found relief using this. Glass weighted beads stay cold longer than gel. The stitches in the eyes allow gentle pressure for migraines.
'5'.'0',"I used for sinus headaches, works great warm or cold.",This feels amazing. Cool and comfortable.
'5'.'0',Great product. The materials it is made of is very soft and comfortable . I love how it is weighted and stays cool for a some time. I will be getting another one soon.,These are the best for getting rid of night light and eye protection to prevent swelling.
'5'.'0',"This eye mask is very comfortable, and I do like the cooling properties of the material.  The weight of it is soothing, and not excessive.  The band is easily adjusted, and I appreciate that there is no velcro (which always pulls my hair!), and that the band is smooth, almost like a bra strap, if that makes sense.  I have washed this in a lingerie bag, and laid flat to dry, with no issues.  Im pleased with how much light this blocks, and feel that it improves my sleep quality.",This works great for my migraine and veer soft and comfortable
'5'.'0',Soothing and comfortable to wear,Great product. Very comfortable
'5'.'0',"Your eyes will feel heavy with these on, which will help them remain closed to sleep longer. Darkness and silence are needed for a good rest or nap.","I wanted a weighted mask that would help reduce the puffiness in my eyes I typically have when I wake up. This worked great. Not only do I feel refreshed, but I can see a small improvement in my under eye bags. I like the adjustable head strap, however the small plastic buckle was a bit uncomfortable at first. I had to find the right position for it to not be noticeable."
'5'.'0',"Umisleep Weighted Eye Mask, Cooling Sleep Mask",The adjustable strap on this mask makes it comfortable to wear. It stays cool and the weight helps to relieve pressure in my sinuses so I can rest.
'5'.'0',"I really like this mask it's very comfortable to sleep in. My eyes feel well rested in the morning, and I have less swelling.",A face mask for your eyes only!
'5'.'0',"Its soft, and not too heavy, comfortable.",I ordered this to use when traveling as I have trouble sleeping away from home. This works perfect to block light out. It is not too heavy and fits nicely. It is not uncomfortable to wear.
'5'.'0',,I wear a mask everynight to bed but never a weighted one. Looking forward to wearing it tonight.
'5'.'0',Helps with Migraines!,"I have had many masks that work for a few months and then the head band gets so stretched out you cant wear it anymore. This one is like a bra strap, hook it when you get it on your face. So nice and heavy. Very soft material.  I tried it and there is absolutely no light that shines in!!! I fall asleep fast with this on. Just enough pressure under the eyes to really relax me.  I have MS, Migraines and horrible anxiety. This mask is a powerful tool for me.  I am in love with it and so thankful I got it as an early Christmas present!! Highly recommend!!"
'5'.'0',This product has helped me sleep better than I thought I would. Can't sleep without it now.,I have only used one night but so far so good!
'5'.'0',"Eye mask gets cold, soothes headaches. Great way to relax eyes and soothe head pressure.","I bought this for my daughter, she has terrible migraines?? she said it has helped so much!"
'5'.'0',"I slept well wearing this mask. It shields my eyes from all streetlight/ambient lighting, and it's a great value for a weighted eye mask. The weight is pleasant for everyday sleep and definitely something I'd reach for when a migraine strikes (both the darkness and the pressure will help).  You can adjust the strap for a good fit, but it's designed in such a way that hair won't get tangled in it. Also, the glass beads will need a little help with orientation. The core part of the mask is basically a bag sewn shut, with small contoured places for the eyes to keep out the beads. As a result, the beads freely flow in the outer part of the mask. I just shifted the beads around for even coverage across the entire mask, but if I had a migraine rooted in just one eye, I could easily shift the beads to add more weight to the affected area.","This mask provides great relief from sore, itchy eyes."
'5'.'0',,It also helps with sinus pressure.
'5'.'0',Perfect fitted weighted mask,"Hello, darkness & sweet relief"
'5'.'0',Perfect soothing sleep mask!,This mask works perfect. It doesn't get super cold just cool enough to feel great on your eyes. It is weighted with little beads inside which helps hold it in place on your face. It also has an adjustable band that goes around your head to keep it on. I personally don't like having stuff like that around my head when trying to sleep however this band was very comfortable and I verily noticed that it was on. I really like this mask and highly recommend it.
'5'.'0',Super mask for headaches or stress,Love the weight and fit of this mask!
'5'.'0',Great product from what I can see.,This product is very comfortable and soothing to wear!! I bring with me when I travel too!
'5'.'0',Love how it is weighted,So soothing for irritated eyes.
'5'.'0',,"It's freezer safe. Also, adjustable strap is and inch thick"
'5'.'0',Good for sleep and headaches,Very nice materials. Doesn't stay cold long.
'5'.'0',Fantastic for Migraines,works wonder for my sleep.
'5'.'0',Works well. Buy two so you can alternate and always have a cold one,Works great after I put in freezer for head ackes
'5'.'0',Came fast and as described.,I get horrible excruciating migraine headache and I use these on my eyes and forehead
'5'.'0',Nicely constructed weighted mask,A good cold mask for headaches
'5'.'0',,Great quality soft and I can't wait to use it! Came in a cute package super adorable.
'5'.'0',I bought it for my husband. He often has headaches and has trouble sleeping. He feels the weight and texture of the mask helped him to relax and sleep well.,Cant wait to try it.
'5'.'0',"Great product, comfortable and helps my husband sleep better.  Im asleep in minutes!","Looks well constructed, and not too heavy. should be great for my migrains"
'5'.'0',Very well made. Comfortable to use. Would buy again.,"This has been a god send. I have frequent headaches and this it's so soothing and gets cold quickly. I had one that broke and could never find the silky material, but here it is!"
'5'.'0',The mask is really comfortable and the weight is just right.,Love the weight of the mask and good construction.
'5'.'0',One of the best masks I have used,Put it in the freezer for a great way to help relieve migraines
'5'.'0',I work nights an this is the best thing for me. Nice an cool and makes it dark so I can fall asleep with ease.,I like the way it is made with no pressure on the eyeball. It is soothing and doesn't press on the eyeball.
'5'.'0',,I like the weight of the mask on my face. Doesn't bother my eyes at all. Coolness is comforting
'5'.'0',"Im a trucker driver with sleep apnea. I use a cpap machine when I sleep and mostly sleep only during the day, as i drive through the night. This mask has been so helpful. It doesnt interfere with my cpap mask, blocks out every bit of light, and afte5 putting it in the freezer for 20 to 30 minutes, it feels so good on my eyes. I fall straight to sleep and its a deep solid REM sleep. I feel so much better and rested when I wake up. It even helps when I want to try and fall back to sleep after going to the bathroom.",I use a CPAP machine and this helps stop air from going into my eyes.
'5'.'0',I use this along with another cold pack for migraine headache.  I use this one on my forehead and the other one to the back of head; which can fit under the strap of the first.  Is very helpful.,"I had ordered this product in the hopes it would help my headaches go away, and its by far the best product I have ever bought. I sleep so comfortable at night headache free!"
'5'.'0',"So cozy and comfortable! Stays cold for quite awhile. I also like the weight of it and the flexible strap. I put it in forehead when I had a headache and that helped, too.",great for migraine headaches
'5'.'0',Great eye mask for stress relief,"I bought it because I have a medical condition that can cause my corneas to scratch or tear on their own. When that happens, one of the only things to help with the pain is pressure - BUT my eyes are also very sensitive to touch. Rubbing my eyes can be incredibly painful.This mask is the perfect amount of weight to soothe my cornea pain and not hurt my eyes.AND I have trouble falling asleep and noticed it happens much faster on the nights I use the mask."
'5'.'0',"works as intended, keeps my face nice and cool when trying to get some sleep while also keeping a nice amount of pressure on my eyes.","??I love this mask! It keeps my face cool and because its weighted, it helps me sleep more soundly! It is also made very well and has an adjustable strap. I would definitely buy this again."
'5'.'0',,These are perfect to have in the freezer for migraines.  So comforting.
'5'.'0',"I love these. They are so comfortable and even with my migraines they don't cause enough pressure to stress my headache, which is a problem I've had with other sleep masks. They're so great I had to order another set because my children each wanted one and now they sleep with them","I was looking for an eye mask to use when I meditate before bed or when Im napping. This is perfect as the weight of the mask almost feels like an accupressure massage on the face. I was initially worried that the stitched ""V""s for the eye sockey wouldnt be enough to prevent the weighted beads from putting pressure on my eyes, but it actually works great at putting pressure on everywhere besides the eyes."
'5'.'0',Best eye masks I've used,Havent tried it yet but it looks great! Well made. They ask you to review for a free gift
'5'.'0',I have been using the same one blue sleep mask since 2020,These eye mask are super comfortable and  lock all light. The cushion on the inside is soft yet firm to do its job. The mask are well made with good quality material.
'5'.'0',Ive tried a handful of different sleep masks. These are the best. Hands down. Comfortable and lightweight. They look a little odd shape but thats because you can open your eyes with these on comfortably. Especially recommend for women with long lashes who are worried about eye masks affecting those. I will never buy another eye mask on than these again!,"I have been sleeping with a mask for years now and tried every kind! This is my favorite, it stays on and fits tightly over my eyes. This is my second set!"
'5'.'0',I'm a night shift nurse and these are the only thing that works to help me sleep thru the day time! They don't squish my eyeballs and o just rotate and throw them in the wash weekly.,"I just placed another order for LKY sleep masks.  I've tried others, but none compare to these.  They conform to your face providing a convex space for your eyes so the fabric doesn't touch your eyes. I have purchased others over the years, but these are the most comfortable, block out the light completely, and the adjustable band stays in place without pressure. Best of all there's no Velcro to get caught in your hair or make crinkly noises. I have several available as I like to hand wash them occasionally and always take a couple for travel or just in case. Highly recommend!!"
'5'.'0',"I love the way these masks have an adjustable strap and how they block out the light and have space between the mask and the eyes.Use of eye masks result in an increased amount of REM sleep and less time spent between falling asleep and reaching REM sleep.Wearing an eye mask during sleep can improve alertness the next day. Sleep is crucial for alertness and for preparing the human brain to encode new information.I found this information online but I have experienced waking up feeling refreshed, more alert and having better reflexes. When you sleep, even though your eyes are closed, light can still seep through, which can disturb your rest.Do not use these only for travel, but for everyday use. Keep one in your purse or briefcase. It's amazing how one can feel relaxing with an eye mask.",No pressure on the nose area (which I appreciate!) and still keeps light out! I can also open my eyes and my lashes do not rub against the mask. Great product!
'5'.'0',Weighted masks are the way to go!,Perfect for night shift
'5'.'0',Relieved my burning eyes and helps me fall asleep.,Love these eye masks!
'5'.'0',My daughter cannot sleep without it. Makes her sleep good.,"This is now my favorite type of sleep mask - weighted! I have a few others, but this one is my fav. The ""beads"" conform to your eyes & the weight puts pressure on your eyes which feels so good when my eyes are tired or if I have a slight headache. This mask is great for side sleeping. It does not dig into the side of my head, keeps the light out very well, even sleeping on your side. Only issue I have is that the strap on the back keeps coming off its hook when I take the mask off. It does not come apart when Im sleeping. Just something that happens when I take it off, so not a big deal. Havent tried to freeze or frigerate the mask, so cant attest to that benefit. I have a liquid filled freezable mask that feels great, so would guess this would feel good too, just not as intense."
'5'.'0',It's a good mask but it is heavy since weighted. I really like the small beads and the coldness.  I sorta wish it wasn't weighted but it is so dark,"Since they spray us so heavily,  my eyes are always burning.  This mask relieves the pain and helps me fall asleep in no time at all.  Its inexpensive and so helpful."
'5'.'0',"I have always struggled with falling asleep, but this mask knocks me out and keeps me out. It's too good at keeping me asleep because it's nearly impossible to wake up in the morning when I sleep with it on. My only concern is how the weight might affect my eyes long term or cause more wrinkles, but I'm not sure about that.",This feels very comfortable. I have only used as a cool compress for eye relief. You must use it immediately out of the freezer. Even 20 minutes will allow it to warm up and not really be used for intended cold therapy. When used immediately it feels great. The material and weight feel like this would also work well for warm therapy. I bought a gel eye mask after this that will stay colder much longer after pulling from the freezer. This is a better quality mask but loses the cool quickly.
'5'.'0',"This is wonderful! It feels like sand inside, not glass beads. It has helped me even sleep, and I wake to less and less headaches. One of the best things I've purchased on Amazon. Very soothing !",Helps keep my room dark for sleep.
'5'.'0',,I sleep like a rock with this mask
'4'.'0',Good find but not total darkness,Soothing and comforting
'4'.'0',"This eye mask is weighted, and feels good on my face. No pressure on my eyes. And its just heavy enough to make it therapeutic.  It is exactly as the photos. And its adjustable to fit your head. My only complaint would be that the spot were the white ""V""s are, the light comes through if you have the lights on. Most people will have the lights off. This bothered me as I was looking for something that 100% blocks light, as my husband will be awake hours past me with the bedroom lights or TV on. If that doesnt bother you, then its well worth getting and would get 5 stars.","I have allergies, sinus issues and migraines. Between chilling this of warming it, I get relief and better sleep!!"
'4'.'0',"It's full of just plastic beads, so it doesn't stay cold for long. But I really like it. It is easy to adjust and comfortable to wear whether cold or not. It blocks light really well.",Cuts out light when get migraine
'4'.'0',"Put ear plugs in and wear this mask, you litterally forget you exist. Best eye mask ive had. And it stays cold till well after you fall asleep.",Surprisingly relaxing
'4'.'0',Nice mask but doesn't stay cooo,As the title says. But most likely very comfortable for people without lash extensions.
'4'.'0',I was looking for an eye mask to help my dry eyes. I love the pressure but this one doesnt get cold enough to do any real help,"It keeps out light So I can sleep peacefully, Also  it has space between mask and eyes so does rest on your eyes when sleeping I think this is hygiene wise."
'4'.'0',"5 star cooling mask, not so great as sleeping mask","I like it in winter, summer time I cant use it, I need something lighter"
'4'.'0',"Very comfortable, yet slightly bulky eyemask",Most comfortable sleep mask I've ever had.
'4'.'0',Took some fiddling to get it comfortable!,"I have trouble sleeping unless Im in total darkness, so Ive tried a lot of sleep masks over the years. This one is very comfortable and blocks the light well. There is plenty of room for eye movement without the mask touching my eyelashes. The extra weight of the filling was slightly unusual at first but then i think it helped me to relax more. The material is very smooth and doesnt irritate my skin like some of my previous masks."
'4'.'0',Umisleep Weighted Eye Mask,"A lot less heat build up than other masks, good fit, I like the weight. Need to be replaced after a few months, the seams holding the beads give up after a while."
'4'.'0',,"This totally blocks out all light and its really comfortable on and around the eyes. The best feature, I would say, is that you can open your eyes without taking the mask off. This allows you to be woken by accident and then fall back asleep quickly and easily with little interruption to your sleep.Only issue is the strap is very poorly designed with a buckle that allows the strap to become contorted very easily. This can be uncomfortable on the sides of the head, as the strap becomes bunched and irritating.Im still happy with the purchase, but id have preferred one with a better strap."
'4'.'0',"I have migraines, so I got this hoping for some relief. It does not cure, but it does ease the migraine up some. It isnt so cold that it freezes your face like some masks. It isnt gel so you dont have to mush it around trying to get it just right, gravity and your face contour do it for you. The glass beads are really small in it, so no worry about large beads in it.","It is a very nice mask, nicely weighted, and has an adjustable strap on the back for people with big or small heads (like me). Its also very comfortable. Unfortunately, the mask didnt fit me perfectly and I could see light coming out of the bottom of the mask, even after I adjusted the straps. I have a long nose so that could be why it didnt fit me perfectly, but if you are looking for total darkness and eye coverage then it might not work for you."
'4'.'0',Softer & more comfortable than last one,"This eye mask has a good weight to it with depressions so theyre not as heavy on the eyeballs. The filling rounds the mask, which may be why this seems to let a bit more light in around my nose than typical masks. The strap is wider and seems better made than others I often see. Overall, it lived up to expectations and is well priced right now ($14.99 minus 30%). It came in a sealed bag in another zip bag (neither is meant to be a reusable storage bag)."
'4'.'0',"The mask is weighted nicely. However, I purchased it to be put in the freezer and then applied it to the eyes for relief. Unfortunately, the mask doesnt stay cold long enough. If the glass beads were larger, this might have a different effect.",Doesn't stay cold for long
'4'.'0',I feel like this really helps with my migraines.  It is also great for a sleeping mask without migraines. I wear it every night and feel it prevents some migraines as well as relieves them.The only thing I dont like is that there isnt space for my eyelashes when I blink.  My eyelashes are smashed/flatten down and hard to curl in the morning.,"My roommate loves it, I cant get used to it. So, maybe its not for everyone"
'3'.'0',Nice weight and light lavender scentDoes not stay cool more than 15 minutes when you really need something cold for a migraineHad it in fridge for 45 minutes before use,The sand shifts and becomes uneven
'3'.'0',loved the ice cold feeling of this on my face but after 3rd day of use the small amount of freezer time it had made it stink terribly! I cannot get the scent out and my freezer doesnt smell!,This is a great weighted sleep mask. I kept it in the freezer for migraines and it was nice and cool the first 2 minutes. It did not cold it's coldness for relief.
'3'.'0',"Thought this was way too heavy to wear all night. Made my face very hot, could not tolerate. Really wanted to like this as I have been looking for a nice comfortable mask, but this did not fit the bill for me, maybe others will like it tough. Nice thick material that I think would hold up well.","Works well, very glad the head strap is NOT Velcro!!"
'3'.'0',Bulky With Uneven Distribution,"The Umisleep Weighted Cooling Sleep Mask was wonderful as a cooling therapy mask, but it didn't work as a sleeping mask for me.There's much to like about the Umisleep weighted cooling sleep mask. The fabric was nice and soft, it felt really good around the sensitive eye area. I put it in the freezer until it was chilled throughout and it was tremendously relaxing and therapeutic for my tired eyes. The 'V?? design in the middle kept the mask from touching my eyelids but the outer edges of my eyes were covered in soothing coolness. I know some would really like that feature as they're uncomfortable with the blurry vision that sometimes comes after using heat or cold on their eyes. I didn't experience any vision distortion with this mask. That chilled area is weighted, which feels really good and also caused the mask to hug my face nicely. (The cold lasts a generous amount of time.) The back strap is adjustable, so I was able to create the perfect fit. I was so relaxed from the experience that I fell asleep in my recliner.After I finished my first session with the mask I put it back in the freezer to rechill for later use. I grabbed it on my way to bed that night to see how I'd like it as a sleep mask. I immediately could see that this wouldn't be a 'total blackout?? mask, light filtered in around the edges. I laid back on my pillow, closed my eyes and began to drift away. At some point I turned on my side, which is when I realized this wouldn't be a good sleep mask choice for me. The weighted part of the mask that surrounded my eyes and had felt so glorious moments before was now presenting as a hard, uncomfortable lump between my face and my pillow. I shifted position a bit, but nope??. this wasn't something that could be made better. I took off the mask and went back to my old sleep mask.My final evaluation is that this makes a marvelous cold therapy mask. It's a good design and well made. It's very comfortable. It could also possibly be a good sleep mask if one only slept on their back. It felt great as I slept in the recliner, but when I'm in bed I change positions making it a poor choice for regular sleep use. It's an excellent mask, depending on how one uses it. It is also washable, a feature that's very much appreciated.****About me: Integrity is very important to me. Reviews Ive posted will be from items Ive had direct contact with. These are my honest opinions. I will not post a review for a product I have not had personal contact with."
'3'.'0',Difficult to sleep in,"I really love the design of this eye mask. It is silky soft to the touch, puts pressure in all the right places (none on your actual eyes, but relieves the sinus area), and blocks out any light perfectly especially since it has an adjustable strap.My one and only complaint is that it is a bit bulky to wear and so, for a side sleeper like me, I have found that it either slides off in the middle of the night or makes me sleep at an angle I wouldnt normally choose. For that, it loses one star."
'4'.'0',I like the look and feel.  The adjustable strap is great.  I still get little bits of light around nose if I move/rollover.  Better than others I have tried but not my unicorn perfect mask.,"Strap is very adjustable! BUT I had loosen it quite a bit to get a comfortable loose fit and I have a small head. Then it was too lose when i got out of bed!Material is very soft! Even the beads feel good against the face. BUT the beads are all over the place. You have to squish and shake from side to side to try and even them out. Eventually, the beads to the bottom seemed to work the best. Love the weight of the mask after i play with where the beads should be?Most importantly, there was still pressure on my eyes UNTIL I got the beads just right.And lastly there wasnt 100 percent black out without some pressure on my nose bridge. All of these things could be my weird face, and most were resolved with some fiddling. But it shouldnt be that hard to make it comfortable. All in all tho it does all that it claims once you take the time to adjust things EACH time you put it on.."
'4'.'0',"I use an eye mask every night.  These are very comfortable.  I like that they are slightly concave over the eye area so there is no pressure on the eyes at all.  Completely blocks the light and is very comfortable to use, and not hot to sleep with.  2 thumbs up.","This looks exactly as it does in the promo photos. No instructions were included. The material is stretchy, but soft, and there is a bit of weight to it. I was hoping for a bit more weight to it, honestly.  The two Vs in the mask are supposed to keep the mask off your eyes and lashes, and it does it, but they also let a bit of light in, so not exactly blackout if one opens their eyes. The strap is nice an stretchy, easy to make fit on the face and head.  The description states these have a cooling effect since its filled with micro glass beads. There is no cooling effect that I can detect right out of the package. theyll need to be placed in the fridge/freezer,"
'4'.'0',"It is very comfortable to wear on your head.  But the eye wells are not deep enough, and it rides up on when you sleep.  So the edges rub against your eyes.",I was going to return this face mask after purchasing different eye massagers but this is a well-constructed face mask and you can fall asleep with it on and not be concerned with sleep interruption. Also the materiel inside can be removed for easy launder. ?'? This eye mask stayed cool for almost 15 minutes! It was much better than the EyeSpa Pods by RENPHO!Definitely recommend! Hope this helps?'?
'4'.'0',Not really a tiny bra,Heavier than I thought but that's my fault. Also the band disconnects at times when taking off. Also smelled like pepper when I received it?
'4'.'0',These have worked pretty good for my needs.  Definitely helps block out light.  They are very soft and comfortable. The only issue I have is when I wear my CPAP they rid up a little bit because they're kind of big.  That's why I went with a 4 star??,"It's great & soothes headaches as it should, just wish the cold would last longer. I have to flip it."
'4'.'0',"satisfied with purchase,  efective, comforta ble",I wish the loop was closed at the top because the band slides through. I want to order a 2nd one but I need to find a way to keep it in place.
'4'.'0',I really like this mask.  My only complaint is the elastic gives out so quickly.,Very comfortable and stays in place. Pellets need to be adjusted frequently
'2'.'0',Doesnt stay cold for long,"Contrary to what their ad says, it is not total blocking the light, It DOES let light through the bottom.I really dont understand why these masks have a little flap at the bottom that does not block all light. Why dont they have a thick piece or foam or something that fully seals against the face unlike the silly little flap."
'2'.'0',"very comfortable and soft, but not cold!","I was curious how a weighted sleeping mask would feel like, but my didnt like it as much as I had expected. The weight gets kind of annoying, the nose pad isnt as effective as the ones from the sleep masks I used before this one, and I loose the mask every night, it doesnt stay in place (maybe because the material is a bit slippery, but, on the plus side, it feels nice), when I wake up at night, I notice the mask got out of place and lets light in."
'2'.'0',it is soft and does not freeze your face off when you put it on. the strap is adjustable. but it only stays cold for about 15,Feels good but smells
'2'.'0',Its too heavy cant sleep,Really wanted to Like this But !
'2'.'0',Works great for maybe 10 minutes.  Not long enough to be effective,"Works good feels nice on but and it's a big one, the clasp on the band gets caught in my hair every time and it's painful getting it off/out of my hair"
'2'.'0',,"I liked the concept of this eye mask but the design isnt quite there. The beading inside shifts with movement and causes them to pile to one side if you turn over or if it was stored at a weird angle. You have to manually shift the beaded so it lays ""flat"" in the mask and against your face. I also found the upper placement uncomfortable because it pressed on the area between my brow bone and eyelid. The one nice thing is the adjustable strap! If you air travel or always sleep on your back, this may work for you. The weight/beading was more uncomfortable than soothing to me."
'2'.'0',It was nice to sleep in but it was a haste getting it from the fridge every night and it started to give me acne and usually have clear skin.,"The madk is very heavy and you can feel it on your face pretty much all the time. It is hard to focus on falling asleep.The string does not split and goes accross your ears. The other masks I used in the past have string split do one part goes under your ears and second part goes over your ears, without touching them. It is not a problem initially but ears do hurt during the night and the pain wakes you up. Because the string doesnt split you have to keep it over your ears (which causes mask to slip off the head upwards) or under the ears (which causes mask to slip off the head downwards). In every case it is hard to keep the mask on the face throughout the whole night. If you tighten string up it makes ears to hurt.I honestly dont like the product.The only positive I can say about it is that the holes in the mask are perfect size and you can quite comfortably open your eyes in it."
